TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Channel,CustomerOccupation,Location,Target
14.09,70.0,81.0,1.0,5112.21,Atlanta,Albuquerque,Albuquerque,San Diego,6.0
376.24,68.0,141.0,1.0,13758.91,Atlanta,Albuquerque,Albuquerque,Houston,7.0
126.29,19.0,56.0,1.0,1122.35,Atlanta,Austin,Baltimore,Mesa,1.0
184.5,26.0,25.000000000000004,1.0,8569.06,Atlanta,Austin,Baltimore,Raleigh,6.0
92.15,18.0,172.0,1.0,781.68,Albuquerque,Austin,Baltimore,Atlanta,0.0
7.08,37.0,139.0,1.0,13316.71,Atlanta,Albuquerque,Baltimore,Oklahoma City,8.0
171.42,67.0,291.0,1.0,2796.24,Albuquerque,Albuquerque,Albuquerque,Seattle,2.0
106.23,51.0,86.0,1.0,9095.14,Albuquerque,Atlanta,Austin,Indianapolis,7.0
815.96,55.0,120.0,1.0,1021.8800000000001,Albuquerque,Atlanta,Atlanta,Detroit,3.0
17.78,52.0,59.00000000000001,1.0,7599.5199999999995,Atlanta,Albuquerque,Albuquerque,Nashville,8.0
190.02,21.0,173.0,1.0,1528.81,Albuquerque,Austin,Atlanta,Albuquerque,0.0
494.52,24.0,111.0,1.0,1620.02,Atlanta,Austin,Baltimore,Memphis,1.0
781.76,26.0,123.0,1.0,189.69,Albuquerque,Atlanta,Baltimore,Mesa,1.0
166.99,18.0,134.0,1.0,299.93,Atlanta,Albuquerque,Baltimore,Memphis,1.0
465.45,36.0,129.0,1.0,3465.54,Atlanta,Austin,Baltimore,Louisville,1.0
555.8,19.0,158.0,1.0,1131.26,Atlanta,Albuquerque,Atlanta,Denver,3.0
492.93,39.0,234.0,1.0,5109.97,Albuquerque,Atlanta,Baltimore,Austin,0.0
18.68,59.0,106.0,1.0,7948.369999999999,Atlanta,Austin,Atlanta,Columbus,5.0
71.48,18.0,169.0,1.0,6568.59,Albuquerque,Atlanta,Austin,Albuquerque,0.0
59.32,71.0,37.99999999999999,1.0,5750.89,Albuquerque,Austin,Baltimore,Columbus,5.0
85.77,38.0,93.0,1.0,9146.19,Atlanta,Atlanta,Austin,Los Angeles,1.0
52.2,39.0,120.0,1.0,8974.93,Atlanta,Atlanta,Albuquerque,Las Vegas,7.0
345.84,22.0,142.0,3.0,1402.5,Atlanta,Austin,Atlanta,Atlanta,0.0
145.54,21.0,96.0,1.0,1930.96,Atlanta,Austin,Baltimore,Fort Worth,3.0
7.49,65.0,276.0,1.0,3634.67,Albuquerque,Austin,Austin,Houston,7.0
246.93,23.0,158.0,5.0,673.3499999999999,Atlanta,Albuquerque,Baltimore,Miami,8.0
40.32,37.0,95.0,1.0,2686.52,Atlanta,Atlanta,Atlanta,Milwaukee,8.0
127.45,44.0,197.0,1.0,1772.06,Atlanta,Austin,Albuquerque,Las Vegas,7.0
56.17,27.0,283.0,1.0,1351.69,Atlanta,Atlanta,Baltimore,Detroit,3.0
28.31,59.0,20.0,1.0,8334.47,Albuquerque,Austin,Albuquerque,Miami,8.0
59.12,29.0,257.0,1.0,9823.64,Atlanta,Albuquerque,Albuquerque,Baltimore,0.0
396.45,49.0,168.00000000000003,3.0,9690.15,Atlanta,Albuquerque,Atlanta,New York,8.0
877.81,22.0,150.0,1.0,399.0,Atlanta,Austin,Baltimore,Los Angeles,1.0
255.26,45.0,50.00000000000001,1.0,14815.87,Albuquerque,Atlanta,Albuquerque,San Francisco,6.0
124.76,49.0,45.0,1.0,5764.72,Atlanta,Atlanta,Atlanta,Seattle,2.0
78.13,26.0,145.0,1.0,900.61,Atlanta,Atlanta,Baltimore,Milwaukee,8.0
795.31,66.0,90.0,2.0,7914.879999999999,Atlanta,Albuquerque,Austin,San Jose,2.0
335.63,55.0,215.99999999999997,1.0,1019.39,Atlanta,Albuquerque,Albuquerque,Mesa,1.0
328.47,63.0,119.0,1.0,4323.66,Atlanta,Austin,Austin,Oklahoma City,8.0
34.02,38.0,18.999999999999996,1.0,14214.48,Atlanta,Albuquerque,Austin,San Antonio,6.0
241.42000000000002,57.0,116.00000000000001,1.0,13357.02,Atlanta,Austin,Albuquerque,Philadelphia,4.0
55.32,19.0,117.0,1.0,241.79000000000002,Albuquerque,Austin,Albuquerque,Charlotte,5.0
304.31,27.0,33.0,1.0,868.61,Atlanta,Albuquerque,Baltimore,Tucson,2.0
435.27,74.0,90.0,1.0,4673.28,Atlanta,Atlanta,Baltimore,Louisville,1.0
164.49,26.0,75.0,1.0,1509.27,Atlanta,Atlanta,Austin,Chicago,5.0
510.23999999999995,19.0,105.0,1.0,781.7,Atlanta,Atlanta,Baltimore,Baltimore,0.0
626.9,26.0,138.0,1.0,265.51,Atlanta,Austin,Baltimore,Oklahoma City,8.0
22.01,41.0,175.0,1.0,1335.09,Atlanta,Austin,Baltimore,Denver,3.0
425.34,69.0,121.0,1.0,3907.5399999999995,Albuquerque,Austin,Atlanta,Sacramento,6.0
424.56,51.0,264.0,1.0,5183.85,Albuquerque,Austin,Austin,Kansas City,7.0
85.43,67.0,145.0,1.0,14904.9,Atlanta,Austin,Atlanta,Omaha,4.0
169.5,28.0,142.0,1.0,918.8799999999999,Atlanta,Atlanta,Albuquerque,Virginia Beach,2.0
104.63,62.0,90.0,1.0,4477.78,Atlanta,Atlanta,Baltimore,San Diego,6.0
316.95,25.0,83.0,1.0,1324.03,Atlanta,Albuquerque,Austin,Omaha,4.0
60.540000000000006,57.0,52.00000000000001,1.0,3534.93,Atlanta,Atlanta,Baltimore,Mesa,1.0
292.56,68.0,61.00000000000001,1.0,4638.37,Albuquerque,Atlanta,Austin,Columbus,5.0
386.52,48.0,28.0,1.0,5630.61,Albuquerque,Atlanta,Austin,Dallas,5.0
112.07,23.0,51.00000000000001,1.0,930.3,Atlanta,Atlanta,Atlanta,Indianapolis,7.0
568.52,46.0,151.99999999999997,1.0,5499.91,Atlanta,Atlanta,Baltimore,Kansas City,7.0
263.99,79.0,227.0,2.0,4175.02,Atlanta,Albuquerque,Atlanta,Indianapolis,7.0
349.64,48.0,226.0,1.0,6651.62,Atlanta,Atlanta,Austin,Dallas,5.0
601.4,56.0,104.0,1.0,8458.29,Atlanta,Austin,Atlanta,Las Vegas,7.0
5.77,50.0,123.99999999999999,1.0,13988.12,Albuquerque,Atlanta,Atlanta,Philadelphia,4.0
201.33,42.0,186.0,1.0,2585.07,Atlanta,Austin,Albuquerque,Charlotte,5.0
298.42,56.0,225.0,1.0,3014.75,Albuquerque,Atlanta,Atlanta,Nashville,8.0
521.06,25.0,128.0,1.0,1951.42,Atlanta,Atlanta,Austin,Indianapolis,7.0
117.28,60.0,16.0,1.0,3665.77,Atlanta,Atlanta,Baltimore,Albuquerque,0.0
189.12,32.0,103.0,1.0,977.01,Albuquerque,Austin,Atlanta,Austin,0.0
133.55,44.0,220.0,1.0,3846.2800000000007,Albuquerque,Baltimore,Atlanta,Indianapolis,7.0
143.21,35.0,135.0,1.0,6374.82,Atlanta,Albuquerque,Atlanta,Atlanta,0.0
24.77,62.0,55.0,1.0,5866.01,Atlanta,Austin,Atlanta,Dallas,5.0
233.92,26.0,280.0,1.0,6537.62,Atlanta,Albuquerque,Austin,Boston,0.0
1212.51,20.0,24.0,1.0,605.9499999999999,Albuquerque,Austin,Baltimore,Jacksonville,7.0
232.12,37.0,51.00000000000001,1.0,6689.87,Atlanta,Atlanta,Baltimore,Indianapolis,7.0
91.53,44.0,69.00000000000001,1.0,14676.05,Atlanta,Albuquerque,Atlanta,,2.0
120.29,19.0,77.0,1.0,1362.39,Atlanta,Austin,Baltimore,Kansas City,7.0
174.25,50.0,67.0,1.0,10528.34,Atlanta,Atlanta,Albuquerque,Milwaukee,8.0
183.71,38.0,102.0,1.0,552.52,Atlanta,Atlanta,Baltimore,Miami,8.0
345.39,58.0,80.0,1.0,6451.96,Atlanta,Austin,Albuquerque,Seattle,2.0
922.55,63.0,87.0,1.0,4715.84,Albuquerque,Baltimore,Atlanta,Phoenix,4.0
259.91,49.0,170.0,1.0,7176.86,Atlanta,Albuquerque,Austin,Detroit,3.0
154.71,34.0,157.0,1.0,1523.72,Atlanta,Austin,Albuquerque,Denver,3.0
1340.19,54.0,30.0,1.0,8654.28,Atlanta,Austin,Albuquerque,San Diego,6.0
24.56,64.0,69.00000000000001,1.0,9869.93,Atlanta,Atlanta,Albuquerque,Mesa,1.0
568.07,48.0,115.0,1.0,10556.81,Austin,Albuquerque,Albuquerque,Washington,2.0
9.61,58.0,179.0,1.0,12883.91,Albuquerque,Austin,Albuquerque,San Diego,6.0
392.96,24.0,100.00000000000001,1.0,791.65,Albuquerque,Austin,Austin,Milwaukee,8.0
716.93,60.0,34.0,1.0,4064.02,Atlanta,Albuquerque,Atlanta,Kansas City,7.0
223.85,53.0,55.0,4.0,2929.91,Atlanta,Atlanta,Baltimore,Houston,7.0
